change_type,action,rule_name,ruleset,file,source_ip,destination_ip,port,protocol,service_name
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.198,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.198,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.198,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.199,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.199,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.199,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.199,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.2,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.2,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.2,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.2,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.200,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.200,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.200,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.200,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.201,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.201,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.201,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.201,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.202,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.202,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.202,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.202,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.203,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.203,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.203,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.203,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.204,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.204,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.204,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.204,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.3,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.3,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.3,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.3,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.4,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.4,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.4,3389,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.4,3389,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.5,22,udp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.5,22,tcp,
added,allow,"jump-infra,prod,jumpbox → All Workloads,Any (0.0.0.0/0 and ::/0) : ssh, ssh, rdp, rdp",Jumphost Access,scopes/_global/jumphost-access.yaml,10.0.1.2,10.0.0.5,3389,udp,
